BUDGET FISCAL YEAR,DEPARTMENT NAME,TOTAL BUDGET
2017,TRANSPORTATION,"$50,000.00 "
2018,TRANSPORTATION,"$50,000.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$50,000.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$50,000.00 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$50,000.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$50,000.00 "
2017,TRANSPORTATION,"$50,000.00 "
2018,CITY ATTORNEY,"$50,000.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$50,000.00 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$50,000.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$50,000.00 "
2018,CITY ATTORNEY,"$50,000.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$50,000.00 "
2018,CITY ATTORNEY,"$50,000.00 "
2018,CITY ATTORNEY,"$50,000.00 "
2012,ANIMAL SERVICES,"$50,033.79 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$50,045.00 "
2013,ANIMAL SERVICES,"$50,050.00 "
2016,POLICE,"$50,062.00 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$50,079.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$50,098.68 "
2013,NON-DEPARTMENTAL - CAPITAL FINANCE ADMINISTRATION,"$50,122.94 "
2012,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$50,157.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$50,163.00 "
2015,CITY ADMINISTRATIVE OFFICER,"$50,189.00 "
2017,CULTURAL AFFAIRS,"$50,238.80 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$50,239.00 "
2018,CITY ATTORNEY,"$50,250.00 "
2012,COUNCIL,"$50,287.61 "
2018,CITY ATTORNEY,"$50,300.00 "
2014,NEIGHBORHOOD EMPOWERMENT,"$50,312.01 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$50,317.00 "
2012,MAYOR,"$50,341.55 "
2012,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$50,372.23 "
2015,TRANSPORTATION,"$50,400.00 "
2017,CITY ADMINISTRATIVE OFFICER,"$50,403.00 "
2014,BUILDING AND SAFETY,"$50,442.00 "
2013,BUILDING AND SAFETY,"$50,442.00 "
2013,AGING,"$50,473.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$50,482.00 "
2013,MAYOR,"$50,489.41 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$50,495.00 "
2016,CITY ATTORNEY,"$50,496.14 "
2017,EMERGENCY MANAGEMENT,"$50,499.23 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$50,527.00 "
2018,BUILDING AND SAFETY,"$50,532.00 "
2017,BUILDING AND SAFETY,"$50,532.00 "
2014,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$50,532.00 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$50,542.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$50,549.64 "
2016,TRANSPORTATION,"$50,572.29 "
2016,CITY CLERK,"$50,572.69 "
2015,BUILDING AND SAFETY,"$50,607.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$50,680.68 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$50,786.88 "
2012,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$50,860.79 "
2018,CITY ATTORNEY,"$50,980.00 "
2016,CITY ADMINISTRATIVE OFFICER,"$50,992.21 "
2014,NEIGHBORHOOD EMPOWERMENT,"$51,060.26 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$51,061.23 "
2018,CULTURAL AFFAIRS,"$51,182.31 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$51,271.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$51,357.63 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$51,366.96 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$51,434.00 "
2017,COUNCIL,"$51,459.49 "
2012,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$51,465.00 "
2014,CULTURAL AFFAIRS,"$51,471.79 "
2013,DISABILITY,"$51,486.00 "
2014,DISABILITY,"$51,486.00 "
2015,DISABILITY,"$51,486.00 "
2012,DISABILITY,"$51,486.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$51,518.00 "
2012,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$51,518.90 "
2017,BUILDING AND SAFETY,"$51,526.24 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$51,533.30 "
2014,FIRE,"$51,566.15 "
2014,MAYOR,"$51,590.42 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$51,609.00 "
2017,TRANSPORTATION,"$51,610.39 "
2018,CITY CLERK,"$51,632.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$51,632.00 "
2016,NEIGHBORHOOD EMPOWERMENT,"$51,672.00 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$51,768.07 "
2018,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,"$51,797.68 "
2012,EMERGENCY MANAGEMENT,"$51,814.00 "
2016,CITY PLANNING,"$51,836.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$51,868.50 "
2014,POLICE,"$51,887.08 "
2014,BUILDING AND SAFETY,"$51,888.83 "
2018,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$51,950.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$51,977.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$51,977.00 "
2013,ANIMAL SERVICES,"$52,000.00 "
2018,TRANSPORTATION,"$52,000.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$52,038.41 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$52,040.00 "
2012,PUBLIC WORKS - BOARD OF PUBLIC WORKS,"$52,047.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$52,144.00 "
2014,MAYOR,"$52,209.37 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$52,301.38 "
2017,MAYOR,"$52,302.00 "
2013,PUBLIC WORKS - ENGINEERING,"$52,362.00 "
2012,PUBLIC WORKS - ENGINEERING,"$52,362.00 "
2014,PUBLIC WORKS - ENGINEERING,"$52,362.00 "
2015,PUBLIC WORKS - ENGINEERING,"$52,362.00 "
2016,PUBLIC WORKS - ENGINEERING,"$52,362.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$52,452.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$52,452.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$52,458.00 "
2015,POLICE,"$52,465.00 "
2015,ANIMAL SERVICES,"$52,500.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$52,528.62 "
2014,CITY PLANNING,"$52,542.00 "
2013,TRANSPORTATION,"$52,595.00 "
2017,RECREATION AND PARKS,"$52,645.00 "
2012,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$52,686.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$52,706.70 "
2017,CULTURAL AFFAIRS,"$52,710.72 "
2016,NEIGHBORHOOD EMPOWERMENT,"$52,757.19 "
2014,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$52,800.00 "
2013,TRANSPORTATION,"$52,837.43 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$52,847.60 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$52,897.60 "
2013,INFORMATION TECHNOLOGY AGENCY,"$52,905.42 "
2016,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$52,933.00 "
2016,AGING,"$52,978.00 "
2018,OFFICE OF FINANCE,"$52,990.00 "
2014,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$52,999.07 "
2014,CITY CLERK,"$52,999.45 "
2012,NEIGHBORHOOD EMPOWERMENT,"$52,999.73 "
2015,FIRE,"$53,070.00 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$53,079.00 "
2015,TRANSPORTATION,"$53,130.00 "
2012,CITY CLERK,"$53,208.62 "
2016,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$53,223.48 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$53,226.40 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$53,237.48 "
2017,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,"$53,278.86 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$53,288.00 "
2014,CULTURAL AFFAIRS,"$53,317.23 "
2018,CULTURAL AFFAIRS,"$53,336.21 "
2012,TRANSPORTATION,"$53,394.28 "
2018,CITY PLANNING,"$53,416.15 "
2013,AGING,"$53,517.00 "
2012,MAYOR,"$53,596.70 "
2017,CITY PLANNING,"$53,629.00 "
2014,CULTURAL AFFAIRS,"$53,689.26 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$53,730.46 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$53,804.00 "
2014,MAYOR,"$53,880.10 "
2018,AGING,"$53,947.00 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$53,995.00 "
2018,TRANSPORTATION,"$54,000.00 "
2017,TRANSPORTATION,"$54,000.00 "
2017,TRANSPORTATION,"$54,000.00 "
2016,OFFICE OF FINANCE,"$54,060.00 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$54,067.19 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$54,087.00 "
2015,POLICE,"$54,114.86 "
2018,CULTURAL AFFAIRS,"$54,127.19 "
2012,ZOO,"$54,164.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$54,176.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$54,176.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$54,196.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$54,196.00 "
2018,CULTURAL AFFAIRS,"$54,220.77 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$54,223.00 "
2012,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$54,270.53 "
2016,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$54,275.34 "
2014,NEIGHBORHOOD EMPOWERMENT,"$54,300.00 "
2012,POLICE,"$54,300.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$54,322.41 "
2014,PUBLIC WORKS - BOARD OF PUBLIC WORKS,"$54,400.11 "
2016,TRANSPORTATION,"$54,443.00 "
2013,MAYOR,"$54,510.36 "
2016,CULTURAL AFFAIRS,"$54,571.60 "
2012,CONTROLLER,"$54,600.00 "
2016,MAYOR,"$54,632.03 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$54,656.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$54,665.00 "
2012,CITY ADMINISTRATIVE OFFICER,"$54,680.00 "
2017,NEIGHBORHOOD EMPOWERMENT,"$54,684.60 "
2015,ZOO,"$54,750.00 "
2014,TRANSPORTATION,"$54,779.05 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$54,804.00 "
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$54,842.00 "
2016,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$54,950.00 "
2013,MAYOR,"$54,999.98 "
2017,CULTURAL AFFAIRS,"$55,000.00 "
2014,NON-DEPARTMENTAL - CAPITAL FINANCE ADMINISTRATION,"$55,000.00 "
2018,NON-DEPARTMENTAL - CAPITAL FINANCE ADMINISTRATION,"$55,000.00 "
2015,NON-DEPARTMENTAL - CAPITAL FINANCE ADMINISTRATION,"$55,000.00 "
2016,NON-DEPARTMENTAL - CAPITAL FINANCE ADMINISTRATION,"$55,000.00 "
2014,PENSION,"$55,000.00 "
2016,PENSION,"$55,000.00 "
2012,PUBLIC WORKS - BOARD OF PUBLIC WORKS,"$55,000.00 "
2013,PENSION,"$55,000.00 "
2015,PENSION,"$55,000.00 "
2017,PENSION,"$55,000.00 "
2017,CITY CLERK,"$55,000.00 "
2015,CITY ATTORNEY,"$55,000.00 "
2015,TRANSPORTATION,"$55,000.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$55,000.00 "
2017,CITY CLERK,"$55,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$55,000.00 "
2018,PERSONNEL,"$55,079.00 "
2017,PERSONNEL,"$55,079.00 "
2013,ANIMAL SERVICES,"$55,165.68 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$55,170.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$55,225.65 "
2018,CITY ATTORNEY,"$55,238.00 "
2012,CULTURAL AFFAIRS,"$55,272.00 "
2015,CULTURAL AFFAIRS,"$55,279.64 "
2017,GENERAL SERVICES,"$55,290.08 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$55,321.95 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$55,325.68 "
2013,TRANSPORTATION,"$55,352.60 "
2015,POLICE,"$55,392.09 "
2018,MAYOR,"$55,420.96 "
2017,RECREATION AND PARKS,"$55,436.58 "
2018,CITY CLERK,"$55,440.00 "
2017,NEIGHBORHOOD EMPOWERMENT,"$55,440.00 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$55,461.25 "
2012,BUILDING AND SAFETY,"$55,470.00 "
2012,CITY ADMINISTRATIVE OFFICER,"$55,500.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$55,503.34 "
2017,AGING,"$55,506.00 "
2013,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$55,541.00 "
2017,CITY CLERK,"$55,557.83 "
2013,MAYOR,"$55,580.66 "
2014,MAYOR,"$55,640.60 "
2013,CITY CLERK,"$55,682.68 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$55,709.00 "
2013,CITY ADMINISTRATIVE OFFICER,"$55,714.00 "
2015,TRANSPORTATION,"$55,719.19 "
2018,MAYOR,"$55,768.95 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$55,800.00 "
2012,CITY ATTORNEY,"$55,873.01 "
2014,MAYOR,"$55,907.40 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$55,926.05 "
2018,CULTURAL AFFAIRS,"$55,960.00 "
2016,INFORMATION TECHNOLOGY AGENCY,"$56,000.00 "
2018,BUILDING AND SAFETY,"$56,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$56,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$56,004.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$56,004.00 "
2016,MAYOR,"$56,036.67 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$56,040.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$56,049.89 "
2012,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$56,056.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$56,094.00 "
2015,CITY ADMINISTRATIVE OFFICER,"$56,100.00 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$56,141.00 "
2017,CITY ATTORNEY,"$56,185.00 "
2014,RECREATION AND PARKS,"$56,200.00 "
2014,MAYOR,"$56,219.00 "
2015,RECREATION AND PARKS,"$56,250.00 "
2015,RECREATION AND PARKS,"$56,250.00 "
2015,RECREATION AND PARKS,"$56,250.00 "
2015,RECREATION AND PARKS,"$56,250.00 "
2018,EMERGENCY MANAGEMENT,"$56,291.00 "
2013,EMERGENCY MANAGEMENT,"$56,291.00 "
2015,EMERGENCY MANAGEMENT,"$56,291.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$56,300.00 "
2017,RECREATION AND PARKS,"$56,304.26 "
2017,POLICE,"$56,335.34 "
2018,POLICE,"$56,375.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$56,400.63 "
2016,EMERGENCY MANAGEMENT,"$56,406.24 "
2014,RECREATION AND PARKS,"$56,426.23 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$56,474.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$56,578.74 "
2017,RECREATION AND PARKS,"$56,606.87 "
2014,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,"$56,629.24 "
2014,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,"$56,755.77 "
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$56,762.50 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$56,824.35 "
2014,CITY ADMINISTRATIVE OFFICER,"$56,831.00 "
2014,TRANSPORTATION,"$56,924.12 "
2017,INFORMATION TECHNOLOGY AGENCY,"$56,958.53 "
2018,BUILDING AND SAFETY,"$56,995.20 "
2015,PERSONNEL,"$57,079.00 "
2014,CULTURAL AFFAIRS,"$57,089.16 "
2016,CITY CLERK,"$57,136.00 "
2017,CITY CLERK,"$57,137.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$57,187.00 "
2012,AGING,"$57,195.00 "
2015,MAYOR,"$57,240.00 "
2017,AGING,"$57,277.00 "
2012,TRANSPORTATION,"$57,295.76 "
2014,CITY ADMINISTRATIVE OFFICER,"$57,300.00 "
2012,NEIGHBORHOOD EMPOWERMENT,"$57,301.71 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$57,314.89 "
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$57,317.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$57,366.05 "
2015,CITY ETHICS COMMISSION,"$57,382.00 "
2018,CITY ADMINISTRATIVE OFFICER,"$57,416.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$57,480.00 "
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$57,716.47 "
2014,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$57,727.48 "
2013,MAYOR,"$57,778.00 "
2014,MAYOR,"$57,778.00 "
2016,CULTURAL AFFAIRS,"$57,788.83 "
2018,CULTURAL AFFAIRS,"$57,795.66 "
2015,TRANSPORTATION,"$57,940.00 "
2012,BUILDING AND SAFETY,"$57,981.90 "
2013,POLICE,"$58,000.00 "
2017,EMERGENCY MANAGEMENT,"$58,000.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$58,000.00 "
2017,CULTURAL AFFAIRS,"$58,000.00 "
2013,AGING,"$58,023.00 "
2018,RECREATION AND PARKS,"$58,030.78 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$58,106.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$58,186.00 "
2016,AGING,"$58,191.00 "
2016,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$58,303.84 "
2012,AGING,"$58,325.00 "
2017,CULTURAL AFFAIRS,"$58,370.56 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$58,371.26 "
2018,GENERAL SERVICES,"$58,458.62 "
2016,CITY CLERK,"$58,500.00 "
2016,CITY CLERK,"$58,500.00 "
2017,RECREATION AND PARKS,"$58,538.60 "
2018,INFORMATION TECHNOLOGY AGENCY,"$58,540.00 "
2016,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$58,555.33 "
2015,TRANSPORTATION,"$58,565.45 "
2012,CITY ADMINISTRATIVE OFFICER,"$58,600.00 "
2014,CITY CLERK,"$58,625.12 "
2013,CULTURAL AFFAIRS,"$58,684.00 "
2012,TRANSPORTATION,"$58,729.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$58,739.00 "
2015,POLICE,"$58,750.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$58,761.00 "
2013,EMERGENCY OPERATIONS BOARD,"$58,769.97 "
2016,COUNCIL,"$58,843.00 "
2016,OFFICE OF FINANCE,"$58,850.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$58,899.62 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$58,900.00 "
2017,CULTURAL AFFAIRS,"$58,910.00 "
2015,MAYOR,"$58,956.80 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$58,999.56 "
2015,NEIGHBORHOOD EMPOWERMENT,"$59,000.00 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$59,081.69 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$59,130.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$59,130.00 "
2017,RECREATION AND PARKS,"$59,142.09 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$59,180.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$59,184.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$59,212.00 "
2018,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$59,233.22 "
2012,CULTURAL AFFAIRS,"$59,245.90 "
2015,MAYOR,"$59,292.77 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$59,309.00 "
2016,TRANSPORTATION,"$59,314.64 "
2012,NEIGHBORHOOD EMPOWERMENT,"$59,378.05 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$59,381.00 "
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$59,407.67 "
2016,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$59,472.98 "
2016,DISABILITY,"$59,486.00 "
2012,BUILDING AND SAFETY,"$59,500.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$59,540.39 "
2016,POLICE,"$59,542.50 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$59,575.00 "
2018,POLICE,"$59,661.06 "
2012,MAYOR,"$59,697.63 "
2014,COUNCIL,"$59,720.89 "
2014,RECREATION AND PARKS,"$59,726.88 "
2018,EMPLOYEE RELATIONS BOARD,"$59,767.00 "
2012,NEIGHBORHOOD EMPOWERMENT,"$59,772.72 "
2014,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$59,781.00 "
2014,MAYOR,"$59,787.92 "
2017,TRANSPORTATION,"$59,803.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$59,828.33 "
2013,CITY ADMINISTRATIVE OFFICER,"$59,839.00 "
2012,MAYOR,"$59,860.18 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$59,864.80 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$59,883.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$59,883.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$59,888.00 "
2014,MAYOR,"$59,927.13 "
2016,MAYOR,"$59,986.24 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$59,991.53 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$60,000.00 "
2012,CITY EMPLOYEES RETIREMENT SYSTEM,"$60,000.00 "
2014,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$60,000.00 "
2018,TRANSPORTATION,"$60,000.00 "
2013,CITY EMPLOYEES RETIREMENT SYSTEM,"$60,000.00 "
2018,PENSION,"$60,000.00 "
2017,DISABILITY,"$60,000.00 "
2016,TRANSPORTATION,"$60,000.00 "
2014,EMPLOYEE RELATIONS BOARD,"$60,000.00 "
2013,EMPLOYEE RELATIONS BOARD,"$60,000.00 "
2012,EMPLOYEE RELATIONS BOARD,"$60,000.00 "
2015,EMPLOYEE RELATIONS BOARD,"$60,000.00 "
2012,CITY ADMINISTRATIVE OFFICER,"$60,000.00 "
2014,TRANSPORTATION,"$60,000.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$60,000.00 "
2012,FIRE,"$60,000.00 "
2017,TRANSPORTATION,"$60,000.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$60,000.00 "
2014,CULTURAL AFFAIRS,"$60,000.00 "
2012,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$60,000.00 "
2015,CITY ADMINISTRATIVE OFFICER,"$60,000.00 "
2017,COUNCIL,"$60,000.00 "
2016,CITY ADMINISTRATIVE OFFICER,"$60,000.00 "
2018,POLICE,"$60,000.00 "
2017,TRANSPORTATION,"$60,000.00 "
2012,TRANSPORTATION,"$60,000.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$60,000.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$60,000.00 "
